US,29
AL,31.1
AK,27.7
AZ,24.4
AR,33.2
CA,22.2
CO,19.1
CT,24
DE,29.4
DC,9.9
FL,25.2
GA,28
HI,17.9
ID,28.1
IL,28.3
IN,31.3
IA,31.6
KS,31
KY,32.9
LA,31.9
ME,29.2
MD,26.7
MA,23
MI,30.2
MN,26.5
MS,31.5
MO,30.4
MT,23.8
NE,30
NV,26.3
NH,27.3
NJ,25.6
NM,22.8
NY,24.9
NC,27.2
ND,31.3
OH,30.5
OK,32.5
OR,28.1
PA,29.5
RI,26.4
SC,28.3
SD,29.6
TN,31.5
TX,27.9
UT,24.5
VT,24.8
VA,26.7
WA,27.7
WV,35.2
WI,29.8
WY,28
